Crime Description,City,Victim Age,Victim Gender,Weapon Used,Crime Domain,Police Deployed,Case Closed,Severity Score
IDENTITY THEFT,Chennai,59,F,Poison,Violent Crime,4,No,4
FRAUD,Chennai,35,M,Other,Other Crime,14,No,4
SEXUAL ASSAULT,Delhi,16,F,Knife,Violent Crime,18,No,9
CYBERCRIME,Indore,55,M,Other,Other Crime,19,Yes,5
BURGLARY,Mumbai,61,M,Firearm,Other Crime,8,Yes,6
CYBERCRIME,Ahmedabad,34,F,Unknown,Other Crime,10,Yes,5
DOMESTIC VIOLENCE,Agra,59,M,Unknown,Violent Crime,8,No,8
EXTORTION,Delhi,32,F,Poison,Other Crime,11,Yes,7
VEHICLE - STOLEN,Delhi,55,F,Firearm,Violent Crime,8,Yes,5
VANDALISM,Visakhapatnam,41,F,Explosives,Other Crime,6,Yes,3
ARSON,Nagpur,51,M,Unknown,Fire Accident,10,No,9
SEXUAL ASSAULT,Chennai,63,M,Blunt Object,Violent Crime,1,Yes,9
TRAFFIC VIOLATION,Delhi,13,M,Explosives,Traffic Fatality,8,Yes,2
SHOPLIFTING,Delhi,23,M,Firearm,Other Crime,10,Yes,2
ASSAULT,Visakhapatnam,29,M,Explosives,Violent Crime,13,No,8
SEXUAL ASSAULT,Delhi,72,F,Poison,Violent Crime,10,Yes,9
EXTORTION,Delhi,10,F,Poison,Other Crime,9,No,7
DRUG OFFENSE,Delhi,57,M,Other,Other Crime,15,Yes,6
VEHICLE - STOLEN,Delhi,42,F,Other,Violent Crime,9,No,5
PUBLIC INTOXICATION,Ghaziabad,52,F,Knife,Other Crime,6,No,1
ARSON,Delhi,77,M,Explosives,Fire Accident,17,No,9
SEXUAL ASSAULT,Chennai,64,F,Unknown,Violent Crime,2,Yes,9
VEHICLE - STOLEN,Pune,40,M,Knife,Violent Crime,2,No,5
COUNTERFEITING,Bangalore,15,F,Other,Other Crime,8,Yes,4
ILLEGAL POSSESSION,Delhi,32,F,Other,Other Crime,10,Yes,5
FIREARM OFFENSE,Hyderabad,11,M,Other,Fire Accident,10,No,8
COUNTERFEITING,Ahmedabad,25,M,Knife,Other Crime,7,No,4
FIREARM OFFENSE,Delhi,28,F,Explosives,Fire Accident,11,No,8
ASSAULT,Kolkata,40,F,Firearm,Violent Crime,14,No,8
COUNTERFEITING,Vasai,40,F,Poison,Other Crime,2,No,4
PUBLIC INTOXICATION,Varanasi,27,F,Blunt Object,Other Crime,13,No,1
DRUG OFFENSE,Mumbai,68,M,Explosives,Other Crime,9,No,6
TRAFFIC VIOLATION,Mumbai,39,F,Blunt Object,Traffic Fatality,9,No,2
BURGLARY,Bangalore,69,F,Unknown,Other Crime,15,No,6
ARSON,Delhi,19,F,Knife,Fire Accident,8,Yes,9
ARSON,Varanasi,13,F,Explosives,Fire Accident,17,Yes,9
ASSAULT,Bangalore,40,F,Firearm,Violent Crime,2,No,8
VANDALISM,Chennai,30,M,Other,Other Crime,14,No,3
DRUG OFFENSE,Bangalore,68,F,Explosives,Other Crime,9,No,6
ROBBERY,Bangalore,23,F,Knife,Violent Crime,2,Yes,8
IDENTITY THEFT,Patna,60,F,Unknown,Violent Crime,2,No,4
VANDALISM,Kolkata,64,F,Knife,Other Crime,12,No,3
HOMICIDE,Mumbai,59,F,Unknown,Other Crime,18,Yes,10
PUBLIC INTOXICATION,Mumbai,67,M,Unknown,Other Crime,19,No,1
PUBLIC INTOXICATION,Ludhiana,56,M,Explosives,Other Crime,1,No,1
HOMICIDE,Ghaziabad,21,F,Unknown,Other Crime,12,Yes,10
FIREARM OFFENSE,Hyderabad,31,F,Unknown,Fire Accident,14,No,8
HOMICIDE,Pune,68,F,Blunt Object,Other Crime,19,Yes,10
COUNTERFEITING,Ahmedabad,33,M,Explosives,Other Crime,7,Yes,4
COUNTERFEITING,Mumbai,12,F,Firearm,Other Crime,11,Yes,4
HOMICIDE,Indore,17,F,Unknown,Other Crime,11,Yes,10
EXTORTION,Delhi,27,M,Poison,Other Crime,18,Yes,7
DOMESTIC VIOLENCE,Delhi,20,M,Knife,Violent Crime,17,No,8
DRUG OFFENSE,Nagpur,24,M,Explosives,Other Crime,4,No,6
TRAFFIC VIOLATION,Bangalore,66,F,Other,Traffic Fatality,15,Yes,2
VANDALISM,Kalyan,79,M,Unknown,Other Crime,1,No,3
FRAUD,Chennai,53,F,Poison,Other Crime,4,Yes,4
FRAUD,Delhi,62,F,Unknown,Other Crime,12,Yes,4
TRAFFIC VIOLATION,Kolkata,54,F,Blunt Object,Traffic Fatality,18,Yes,2
FRAUD,Bangalore,42,F,Blunt Object,Other Crime,1,No,4
ROBBERY,Mumbai,44,F,Other,Violent Crime,5,No,8
VEHICLE - STOLEN,Pune,72,M,Poison,Violent Crime,6,Yes,5
SHOPLIFTING,Mumbai,36,M,Knife,Other Crime,4,Yes,2
ILLEGAL POSSESSION,Delhi,40,F,Explosives,Other Crime,7,Yes,5
ARSON,Patna,47,F,Explosives,Fire Accident,14,Yes,9
DOMESTIC VIOLENCE,Bangalore,68,F,Firearm,Violent Crime,11,No,8
IDENTITY THEFT,Kolkata,39,F,Firearm,Violent Crime,4,Yes,4
EXTORTION,Varanasi,45,F,Blunt Object,Other Crime,3,Yes,7
COUNTERFEITING,Delhi,71,M,Firearm,Other Crime,5,No,4
ILLEGAL POSSESSION,Mumbai,26,M,Firearm,Other Crime,10,Yes,5
SHOPLIFTING,Mumbai,37,F,Poison,Other Crime,14,Yes,2
EXTORTION,Hyderabad,15,F,Unknown,Other Crime,9,Yes,7
BURGLARY,Hyderabad,17,F,Explosives,Other Crime,12,Yes,6
COUNTERFEITING,Mumbai,21,M,Explosives,Other Crime,17,Yes,4
VEHICLE - STOLEN,Pune,74,F,Unknown,Violent Crime,18,Yes,5
VEHICLE - STOLEN,Chennai,25,M,Poison,Violent Crime,10,No,5
VANDALISM,Ludhiana,50,F,Unknown,Other Crime,2,Yes,3
ILLEGAL POSSESSION,Ahmedabad,16,F,Knife,Other Crime,15,Yes,5
VANDALISM,Kolkata,10,F,Firearm,Other Crime,6,Yes,3
CYBERCRIME,Visakhapatnam,16,F,Unknown,Other Crime,12,Yes,5
PUBLIC INTOXICATION,Mumbai,12,F,Blunt Object,Other Crime,18,No,1
KIDNAPPING,Bangalore,45,F,Unknown,Other Crime,7,Yes,9
DRUG OFFENSE,Indore,49,F,Blunt Object,Other Crime,13,No,6
HOMICIDE,Kanpur,65,F,Poison,Other Crime,7,No,10
TRAFFIC VIOLATION,Ludhiana,75,F,Blunt Object,Traffic Fatality,1,Yes,2
IDENTITY THEFT,Mumbai,64,F,Other,Violent Crime,19,Yes,4
VANDALISM,Kolkata,78,F,Explosives,Other Crime,7,No,3
KIDNAPPING,Delhi,38,F,Other,Other Crime,10,Yes,9
VANDALISM,Agra,11,M,Firearm,Other Crime,11,No,3
DRUG OFFENSE,Ahmedabad,55,F,Other,Other Crime,8,Yes,6
FIREARM OFFENSE,Indore,58,M,Firearm,Fire Accident,2,No,8
ASSAULT,Delhi,10,F,Unknown,Violent Crime,13,No,8
ASSAULT,Nagpur,58,M,Firearm,Violent Crime,4,Yes,8
HOMICIDE,Ahmedabad,30,F,Firearm,Other Crime,6,No,10
DRUG OFFENSE,Surat,65,F,Other,Other Crime,19,Yes,6
COUNTERFEITING,Vasai,39,F,Firearm,Other Crime,10,No,4
CYBERCRIME,Mumbai,68,M,Other,Other Crime,10,Yes,5
TRAFFIC VIOLATION,Jaipur,59,M,Unknown,Traffic Fatality,16,Yes,2
ASSAULT,Nashik,22,F,Blunt Object,Violent Crime,12,Yes,8
SEXUAL ASSAULT,Mumbai,11,M,Other,Violent Crime,3,Yes,9
DRUG OFFENSE,Mumbai,40,M,Explosives,Other Crime,14,Yes,6
VANDALISM,Ahmedabad,56,M,Blunt Object,Other Crime,15,No,3
ARSON,Ahmedabad,28,M,Explosives,Fire Accident,13,No,9
HOMICIDE,Surat,24,F,Blunt Object,Other Crime,11,Yes,10
PUBLIC INTOXICATION,Bangalore,39,F,Knife,Other Crime,10,No,1
DOMESTIC VIOLENCE,Nagpur,30,F,Firearm,Violent Crime,13,Yes,8
FRAUD,Bangalore,37,F,Unknown,Other Crime,19,Yes,4
ARSON,Hyderabad,78,F,Knife,Fire Accident,11,No,9
BURGLARY,Delhi,65,M,Knife,Other Crime,12,Yes,6
DRUG OFFENSE,Mumbai,56,F,Knife,Other Crime,7,No,6
ROBBERY,Kolkata,40,F,Explosives,Violent Crime,12,Yes,8
PUBLIC INTOXICATION,Chennai,22,M,Firearm,Other Crime,5,No,1
PUBLIC INTOXICATION,Patna,78,F,Blunt Object,Other Crime,17,Yes,1
FIREARM OFFENSE,Kolkata,15,F,Unknown,Fire Accident,17,No,8
ROBBERY,Bangalore,43,F,Other,Violent Crime,13,Yes,8
VANDALISM,Ludhiana,55,F,Explosives,Other Crime,11,Yes,3
DOMESTIC VIOLENCE,Nagpur,79,M,Unknown,Violent Crime,19,Yes,8
KIDNAPPING,Delhi,60,M,Firearm,Other Crime,13,Yes,9
DOMESTIC VIOLENCE,Bangalore,63,M,Poison,Violent Crime,14,Yes,8
ILLEGAL POSSESSION,Mumbai,22,F,Other,Other Crime,1,No,5
SEXUAL ASSAULT,Mumbai,55,F,Unknown,Violent Crime,1,No,9
ARSON,Chennai,58,M,Unknown,Fire Accident,12,Yes,9
VANDALISM,Bhopal,14,F,Blunt Object,Other Crime,11,Yes,3
DOMESTIC VIOLENCE,Bhopal,36,F,Explosives,Violent Crime,3,Yes,8
ARSON,Mumbai,60,M,Knife,Fire Accident,14,No,9
VANDALISM,Mumbai,53,F,Unknown,Other Crime,8,No,3
SEXUAL ASSAULT,Chennai,38,F,Blunt Object,Violent Crime,15,Yes,9
ARSON,Lucknow,20,M,Poison,Fire Accident,9,No,9
DRUG OFFENSE,Indore,23,F,Unknown,Other Crime,7,Yes,6
IDENTITY THEFT,Delhi,65,M,Unknown,Violent Crime,5,No,4
KIDNAPPING,Ahmedabad,72,M,Firearm,Other Crime,3,Yes,9
FIREARM OFFENSE,Ludhiana,17,F,Knife,Fire Accident,18,Yes,8
EXTORTION,Bangalore,46,F,Poison,Other Crime,19,No,7
VANDALISM,Mumbai,62,F,Unknown,Other Crime,14,No,3
PUBLIC INTOXICATION,Hyderabad,38,F,Other,Other Crime,4,No,1
VANDALISM,Kolkata,17,F,Knife,Other Crime,14,No,3
HOMICIDE,Delhi,50,M,Knife,Other Crime,15,No,10
VEHICLE - STOLEN,Ahmedabad,22,F,Knife,Violent Crime,4,Yes,5
KIDNAPPING,Hyderabad,29,F,Unknown,Other Crime,6,Yes,9
IDENTITY THEFT,Mumbai,16,F,Explosives,Violent Crime,17,Yes,4
KIDNAPPING,Ahmedabad,29,M,Explosives,Other Crime,10,Yes,9
KIDNAPPING,Jaipur,23,M,Knife,Other Crime,10,No,9
VANDALISM,Hyderabad,41,F,Other,Other Crime,2,Yes,3
CYBERCRIME,Delhi,79,F,Unknown,Other Crime,19,Yes,5
ILLEGAL POSSESSION,Delhi,67,F,Unknown,Other Crime,4,No,5
EXTORTION,Hyderabad,66,F,Poison,Other Crime,8,Yes,7
KIDNAPPING,Kolkata,17,M,Poison,Other Crime,15,Yes,9
FIREARM OFFENSE,Indore,15,M,Blunt Object,Fire Accident,11,No,8
KIDNAPPING,Hyderabad,10,F,Other,Other Crime,14,Yes,9
FIREARM OFFENSE,Mumbai,49,M,Firearm,Fire Accident,9,No,8
PUBLIC INTOXICATION,Kolkata,63,M,Other,Other Crime,18,Yes,1
PUBLIC INTOXICATION,Ahmedabad,25,F,Poison,Other Crime,13,Yes,1
VANDALISM,Hyderabad,74,M,Knife,Other Crime,2,Yes,3
KIDNAPPING,Pune,26,F,Firearm,Other Crime,14,Yes,9
SEXUAL ASSAULT,Pune,45,F,Explosives,Violent Crime,8,Yes,9
TRAFFIC VIOLATION,Visakhapatnam,49,M,Poison,Traffic Fatality,3,No,2
HOMICIDE,Patna,19,F,Other,Other Crime,1,Yes,10
ARSON,Jaipur,60,F,Knife,Fire Accident,6,Yes,9
FIREARM OFFENSE,Bangalore,74,F,Other,Fire Accident,2,No,8
ILLEGAL POSSESSION,Agra,33,F,Poison,Other Crime,8,No,5
SHOPLIFTING,Hyderabad,46,F,Poison,Other Crime,16,No,2
VANDALISM,Ahmedabad,78,M,Explosives,Other Crime,2,No,3
BURGLARY,Bangalore,62,M,Firearm,Other Crime,13,Yes,6
COUNTERFEITING,Delhi,23,M,Firearm,Other Crime,19,No,4
BURGLARY,Surat,38,M,Firearm,Other Crime,15,No,6
HOMICIDE,Hyderabad,75,M,Unknown,Other Crime,11,Yes,10
ILLEGAL POSSESSION,Chennai,56,M,Poison,Other Crime,6,Yes,5
KIDNAPPING,Hyderabad,74,M,Explosives,Other Crime,2,No,9
DRUG OFFENSE,Bangalore,21,M,Knife,Other Crime,3,No,6
ARSON,Hyderabad,34,F,Other,Fire Accident,16,Yes,9
VANDALISM,Surat,59,F,Blunt Object,Other Crime,14,No,3
EXTORTION,Pune,54,M,Blunt Object,Other Crime,16,No,7
HOMICIDE,Ludhiana,58,F,Explosives,Other Crime,7,Yes,10
PUBLIC INTOXICATION,Bhopal,75,M,Explosives,Other Crime,7,Yes,1
CYBERCRIME,Bangalore,42,M,Blunt Object,Other Crime,11,No,5
VEHICLE - STOLEN,Visakhapatnam,11,M,Unknown,Violent Crime,12,No,5
ASSAULT,Kolkata,49,F,Unknown,Violent Crime,16,No,8
DOMESTIC VIOLENCE,Hyderabad,54,F,Blunt Object,Violent Crime,16,Yes,8
DRUG OFFENSE,Delhi,50,M,Explosives,Other Crime,12,Yes,6
HOMICIDE,Delhi,27,F,Explosives,Other Crime,12,No,10
SEXUAL ASSAULT,Delhi,76,M,Blunt Object,Violent Crime,4,Yes,9
SHOPLIFTING,Agra,46,F,Unknown,Other Crime,14,No,2
DOMESTIC VIOLENCE,Hyderabad,35,M,Explosives,Violent Crime,2,No,8
KIDNAPPING,Chennai,44,M,Knife,Other Crime,1,No,9
ARSON,Chennai,40,F,Unknown,Fire Accident,11,Yes,9
ARSON,Patna,11,M,Poison,Fire Accident,12,No,9
IDENTITY THEFT,Srinagar,77,M,Other,Violent Crime,2,No,4
COUNTERFEITING,Lucknow,28,M,Blunt Object,Other Crime,13,Yes,4
VANDALISM,Varanasi,46,F,Blunt Object,Other Crime,18,Yes,3
PUBLIC INTOXICATION,Ludhiana,46,M,Poison,Other Crime,4,Yes,1
BURGLARY,Meerut,12,M,Blunt Object,Other Crime,4,Yes,6
ILLEGAL POSSESSION,Bangalore,43,F,Blunt Object,Other Crime,19,Yes,5
EXTORTION,Pune,18,F,Knife,Other Crime,5,Yes,7
DOMESTIC VIOLENCE,Delhi,18,F,Other,Violent Crime,9,Yes,8
DOMESTIC VIOLENCE,Hyderabad,10,F,Explosives,Violent Crime,6,Yes,8
VANDALISM,Kolkata,11,F,Explosives,Other Crime,18,No,3
SHOPLIFTING,Bangalore,42,F,Knife,Other Crime,16,Yes,2
EXTORTION,Jaipur,20,F,Poison,Other Crime,8,Yes,7
ARSON,Delhi,57,F,Blunt Object,Fire Accident,15,Yes,9
BURGLARY,Chennai,39,M,Poison,Other Crime,2,No,6
TRAFFIC VIOLATION,Ahmedabad,59,F,Poison,Traffic Fatality,18,No,2
COUNTERFEITING,Vasai,15,F,Firearm,Other Crime,1,Yes,4
VANDALISM,Thane,45,F,Explosives,Other Crime,19,Yes,3
SEXUAL ASSAULT,Lucknow,37,M,Firearm,Violent Crime,17,Yes,9
ROBBERY,Meerut,73,M,Other,Violent Crime,7,Yes,8
PUBLIC INTOXICATION,Thane,14,F,Poison,Other Crime,5,No,1
EXTORTION,Bangalore,75,F,Poison,Other Crime,15,No,7
EXTORTION,Kolkata,63,M,Blunt Object,Other Crime,14,No,7
FRAUD,Chennai,79,M,Unknown,Other Crime,14,No,4
ROBBERY,Chennai,15,F,Knife,Violent Crime,4,Yes,8
SHOPLIFTING,Rajkot,67,F,Explosives,Other Crime,19,No,2
CYBERCRIME,Ludhiana,77,M,Firearm,Other Crime,10,No,5
KIDNAPPING,Thane,21,F,Blunt Object,Other Crime,11,No,9
ROBBERY,Hyderabad,52,F,Poison,Violent Crime,7,Yes,8
KIDNAPPING,Jaipur,33,F,Unknown,Other Crime,6,No,9
HOMICIDE,Patna,66,F,Knife,Other Crime,8,No,10
ILLEGAL POSSESSION,Bangalore,28,F,Firearm,Other Crime,9,No,5
TRAFFIC VIOLATION,Hyderabad,70,F,Unknown,Traffic Fatality,15,No,2
VEHICLE - STOLEN,Kolkata,51,F,Unknown,Violent Crime,13,Yes,5
ROBBERY,Varanasi,30,M,Other,Violent Crime,5,No,8
VEHICLE - STOLEN,Hyderabad,28,F,Blunt Object,Violent Crime,13,Yes,5
IDENTITY THEFT,Chennai,59,M,Firearm,Violent Crime,8,No,4
PUBLIC INTOXICATION,Kolkata,39,M,Blunt Object,Other Crime,8,No,1
CYBERCRIME,Kolkata,26,F,Firearm,Other Crime,6,No,5
ILLEGAL POSSESSION,Delhi,62,F,Unknown,Other Crime,16,No,5
VANDALISM,Ludhiana,41,F,Explosives,Other Crime,1,No,3
KIDNAPPING,Mumbai,38,F,Blunt Object,Other Crime,4,Yes,9
HOMICIDE,Ahmedabad,48,F,Firearm,Other Crime,12,No,10
IDENTITY THEFT,Nagpur,54,F,Poison,Violent Crime,10,Yes,4
VANDALISM,Delhi,62,F,Poison,Other Crime,19,No,3
ROBBERY,Agra,47,F,Blunt Object,Violent Crime,2,No,8
CYBERCRIME,Pune,75,M,Explosives,Other Crime,10,No,5
BURGLARY,Delhi,51,F,Unknown,Other Crime,14,No,6
VANDALISM,Chennai,77,M,Knife,Other Crime,5,No,3
SHOPLIFTING,Patna,56,F,Unknown,Other Crime,4,No,2
ASSAULT,Kalyan,78,M,Firearm,Violent Crime,10,Yes,8
COUNTERFEITING,Hyderabad,21,M,Unknown,Other Crime,11,Yes,4
CYBERCRIME,Jaipur,67,F,Firearm,Other Crime,12,Yes,5
ASSAULT,Kolkata,47,F,Explosives,Violent Crime,17,Yes,8
DRUG OFFENSE,Jaipur,74,M,Blunt Object,Other Crime,13,Yes,6
FRAUD,Agra,54,F,Poison,Other Crime,9,No,4
DRUG OFFENSE,Hyderabad,54,M,Firearm,Other Crime,12,No,6
SHOPLIFTING,Delhi,63,M,Knife,Other Crime,6,Yes,2
FIREARM OFFENSE,Chennai,42,F,Blunt Object,Fire Accident,11,Yes,8
VEHICLE - STOLEN,Mumbai,20,F,Firearm,Violent Crime,2,Yes,5
TRAFFIC VIOLATION,Hyderabad,19,M,Poison,Traffic Fatality,7,No,2
DRUG OFFENSE,Mumbai,40,F,Firearm,Other Crime,15,No,6
ILLEGAL POSSESSION,Lucknow,54,F,Knife,Other Crime,12,No,5
DOMESTIC VIOLENCE,Hyderabad,51,F,Firearm,Violent Crime,12,Yes,8
SEXUAL ASSAULT,Jaipur,20,F,Firearm,Violent Crime,7,Yes,9
DRUG OFFENSE,Ahmedabad,27,F,Unknown,Other Crime,12,No,6
CYBERCRIME,Visakhapatnam,23,F,Knife,Other Crime,4,No,5
SEXUAL ASSAULT,Bhopal,41,F,Other,Violent Crime,5,No,9
IDENTITY THEFT,Indore,19,F,Unknown,Violent Crime,5,Yes,4
ASSAULT,Chennai,23,F,Unknown,Violent Crime,19,No,8
DOMESTIC VIOLENCE,Delhi,74,M,Explosives,Violent Crime,3,Yes,8
ARSON,Kolkata,14,M,Explosives,Fire Accident,11,Yes,9
SEXUAL ASSAULT,Kanpur,35,F,Blunt Object,Violent Crime,8,No,9
VEHICLE - STOLEN,Ahmedabad,53,M,Unknown,Violent Crime,18,No,5
TRAFFIC VIOLATION,Bangalore,26,F,Explosives,Traffic Fatality,16,Yes,2
BURGLARY,Bangalore,23,M,Knife,Other Crime,15,Yes,6
COUNTERFEITING,Hyderabad,18,M,Poison,Other Crime,7,No,4
KIDNAPPING,Ahmedabad,21,M,Explosives,Other Crime,1,Yes,9
VANDALISM,Mumbai,68,M,Firearm,Other Crime,16,No,3
ARSON,Kanpur,17,F,Blunt Object,Fire Accident,17,No,9
HOMICIDE,Nagpur,69,M,Poison,Other Crime,14,Yes,10
ILLEGAL POSSESSION,Jaipur,33,F,Firearm,Other Crime,5,No,5
CYBERCRIME,Ahmedabad,65,F,Blunt Object,Other Crime,10,No,5
SEXUAL ASSAULT,Chennai,44,F,Blunt Object,Violent Crime,16,Yes,9
EXTORTION,Mumbai,55,F,Knife,Other Crime,1,No,7
EXTORTION,Ahmedabad,46,F,Knife,Other Crime,15,Yes,7
EXTORTION,Lucknow,32,F,Explosives,Other Crime,10,No,7
BURGLARY,Bangalore,12,F,Other,Other Crime,5,No,6
SEXUAL ASSAULT,Ahmedabad,53,M,Unknown,Violent Crime,15,No,9
FIREARM OFFENSE,Delhi,56,F,Blunt Object,Fire Accident,3,No,8
ROBBERY,Hyderabad,50,M,Knife,Violent Crime,7,Yes,8
DRUG OFFENSE,Jaipur,68,M,Knife,Other Crime,9,No,6
SEXUAL ASSAULT,Chennai,57,F,Blunt Object,Violent Crime,7,No,9
SHOPLIFTING,Ghaziabad,41,F,Other,Other Crime,18,Yes,2
HOMICIDE,Indore,29,F,Explosives,Other Crime,13,No,10
COUNTERFEITING,Ahmedabad,52,F,Knife,Other Crime,1,Yes,4
SHOPLIFTING,Chennai,17,M,Knife,Other Crime,16,No,2
ILLEGAL POSSESSION,Kalyan,76,F,Knife,Other Crime,2,No,5
HOMICIDE,Kanpur,61,F,Knife,Other Crime,3,Yes,10
ASSAULT,Nagpur,35,F,Knife,Violent Crime,4,No,8
COUNTERFEITING,Mumbai,60,M,Other,Other Crime,3,No,4
KIDNAPPING,Mumbai,23,M,Knife,Other Crime,6,No,9
IDENTITY THEFT,Kolkata,68,F,Firearm,Violent Crime,9,No,4
ASSAULT,Lucknow,12,F,Other,Violent Crime,17,No,8
COUNTERFEITING,Hyderabad,69,F,Blunt Object,Other Crime,12,Yes,4
EXTORTION,Chennai,74,F,Poison,Other Crime,8,Yes,7
SHOPLIFTING,Hyderabad,32,M,Blunt Object,Other Crime,3,No,2
VANDALISM,Bangalore,66,M,Blunt Object,Other Crime,9,No,3
COUNTERFEITING,Srinagar,10,F,Firearm,Other Crime,9,Yes,4
DOMESTIC VIOLENCE,Jaipur,73,F,Knife,Violent Crime,17,Yes,8
VEHICLE - STOLEN,Hyderabad,12,F,Unknown,Violent Crime,10,Yes,5
FIREARM OFFENSE,Hyderabad,47,M,Blunt Object,Fire Accident,4,Yes,8
SHOPLIFTING,Pune,51,M,Blunt Object,Other Crime,1,No,2
IDENTITY THEFT,Mumbai,44,F,Firearm,Violent Crime,5,Yes,4
VEHICLE - STOLEN,Bangalore,12,F,Knife,Violent Crime,2,Yes,5
KIDNAPPING,Lucknow,65,M,Knife,Other Crime,10,Yes,9
HOMICIDE,Chennai,57,F,Blunt Object,Other Crime,9,No,10
COUNTERFEITING,Chennai,44,F,Blunt Object,Other Crime,18,No,4
SHOPLIFTING,Delhi,27,F,Blunt Object,Other Crime,2,Yes,2
FIREARM OFFENSE,Ahmedabad,38,M,Firearm,Fire Accident,17,Yes,8
TRAFFIC VIOLATION,Ludhiana,24,F,Blunt Object,Traffic Fatality,10,Yes,2
HOMICIDE,Ahmedabad,63,F,Explosives,Other Crime,2,Yes,10
ARSON,Bangalore,53,M,Poison,Fire Accident,13,Yes,9
TRAFFIC VIOLATION,Delhi,69,F,Explosives,Traffic Fatality,3,No,2
CYBERCRIME,Faridabad,46,F,Unknown,Other Crime,5,No,5
PUBLIC INTOXICATION,Ahmedabad,73,F,Explosives,Other Crime,8,Yes,1
ARSON,Delhi,67,M,Other,Fire Accident,5,No,9
SHOPLIFTING,Chennai,73,M,Poison,Other Crime,3,Yes,2
KIDNAPPING,Lucknow,45,F,Knife,Other Crime,10,Yes,9
CYBERCRIME,Mumbai,56,F,Knife,Other Crime,14,Yes,5
ROBBERY,Chennai,25,M,Knife,Violent Crime,9,No,8
PUBLIC INTOXICATION,Kolkata,26,M,Unknown,Other Crime,4,Yes,1
ASSAULT,Hyderabad,31,F,Knife,Violent Crime,16,No,8
FIREARM OFFENSE,Kolkata,52,M,Explosives,Fire Accident,16,Yes,8
PUBLIC INTOXICATION,Kolkata,34,F,Firearm,Other Crime,14,Yes,1
HOMICIDE,Jaipur,21,F,Knife,Other Crime,7,Yes,10
DRUG OFFENSE,Delhi,65,M,Other,Other Crime,1,No,6
BURGLARY,Patna,42,F,Explosives,Other Crime,16,No,6
BURGLARY,Kanpur,39,F,Other,Other Crime,10,Yes,6
ROBBERY,Delhi,16,M,Other,Violent Crime,6,No,8
PUBLIC INTOXICATION,Delhi,48,F,Firearm,Other Crime,8,Yes,1
KIDNAPPING,Indore,58,M,Explosives,Other Crime,1,No,9
IDENTITY THEFT,Surat,63,F,Knife,Violent Crime,8,No,4
VANDALISM,Chennai,74,M,Knife,Other Crime,14,No,3
KIDNAPPING,Ahmedabad,37,F,Poison,Other Crime,13,No,9
FRAUD,Hyderabad,42,F,Other,Other Crime,10,No,4
FRAUD,Hyderabad,32,F,Blunt Object,Other Crime,9,No,4
DRUG OFFENSE,Delhi,74,M,Explosives,Other Crime,16,Yes,6
TRAFFIC VIOLATION,Lucknow,66,M,Blunt Object,Traffic Fatality,1,No,2
CYBERCRIME,Kanpur,64,M,Blunt Object,Other Crime,19,No,5
DRUG OFFENSE,Nagpur,63,M,Knife,Other Crime,2,Yes,6
FRAUD,Ahmedabad,61,F,Firearm,Other Crime,18,Yes,4
FRAUD,Bangalore,18,F,Poison,Other Crime,3,No,4
DRUG OFFENSE,Kanpur,41,F,Other,Other Crime,15,No,6
SHOPLIFTING,Pune,19,F,Poison,Other Crime,18,No,2
DRUG OFFENSE,Chennai,77,F,Poison,Other Crime,11,No,6
KIDNAPPING,Visakhapatnam,38,F,Explosives,Other Crime,5,No,9
ROBBERY,Varanasi,70,F,Unknown,Violent Crime,17,No,8
SHOPLIFTING,Chennai,49,F,Firearm,Other Crime,18,No,2
EXTORTION,Nagpur,66,F,Unknown,Other Crime,14,Yes,7
COUNTERFEITING,Kolkata,52,M,Blunt Object,Other Crime,17,Yes,4
VANDALISM,Thane,59,F,Unknown,Other Crime,18,No,3
VEHICLE - STOLEN,Bangalore,43,M,Firearm,Violent Crime,3,No,5
SEXUAL ASSAULT,Ludhiana,64,M,Explosives,Violent Crime,5,Yes,9
VANDALISM,Mumbai,23,M,Other,Other Crime,11,Yes,3
SEXUAL ASSAULT,Surat,78,F,Firearm,Violent Crime,8,No,9
VANDALISM,Meerut,21,F,Blunt Object,Other Crime,5,No,3
IDENTITY THEFT,Bangalore,38,M,Firearm,Violent Crime,17,Yes,4
SHOPLIFTING,Bangalore,12,F,Unknown,Other Crime,16,Yes,2
IDENTITY THEFT,Agra,58,F,Knife,Violent Crime,8,Yes,4
CYBERCRIME,Jaipur,77,F,Unknown,Other Crime,5,Yes,5
IDENTITY THEFT,Faridabad,52,F,Poison,Violent Crime,6,No,4
DRUG OFFENSE,Chennai,46,M,Poison,Other Crime,11,No,6
FRAUD,Bangalore,47,F,Unknown,Other Crime,17,No,4
EXTORTION,Patna,43,F,Other,Other Crime,15,No,7
KIDNAPPING,Thane,54,F,Knife,Other Crime,5,Yes,9
KIDNAPPING,Bangalore,19,F,Poison,Other Crime,4,No,9
EXTORTION,Ludhiana,78,F,Blunt Object,Other Crime,3,No,7
VEHICLE - STOLEN,Ghaziabad,57,F,Poison,Violent Crime,10,No,5
TRAFFIC VIOLATION,Delhi,34,M,Knife,Traffic Fatality,9,Yes,2
EXTORTION,Lucknow,69,M,Unknown,Other Crime,17,Yes,7
ASSAULT,Bangalore,37,F,Blunt Object,Violent Crime,12,No,8
